seed,ifile_name,ifile_number,tpsExtermination,radiusInfestMax,SdM,SdC,SaM,SaC,deltaSa,deltaSd,actionManager,actionController,diffRisqueGlobal,infecteTotal,infecteVariete1,infecteVariete2
2044551798,random_rep,2.0,180.0,8.0,0.4,0.1,0.4,0.2,0.05,0.0,true,true,0.5,0.1018,0.4774066797642436,0.25736738703339884
-177233723,random_rep,2.0,180.0,8.0,0.4,0.1,0.4,0.2,0.05,0.05,true,true,0.5,0.0076,0.34210526315789475,0.17105263157894737
-2069935842,random_rep,2.0,180.0,8.0,0.4,0.1,0.4,0.2,0.0,0.0,true,true,0.5,0.0387,0.4754521963824289,0.2713178294573643
-1302446102,random_rep,2.0,180.0,8.0,0.4,0.1,0.2,0.2,0.0,0.0,true,true,0.5,0.0705,0.4099290780141844,0.23120567375886525
1012601291,random_rep,2.0,180.0,8.0,0.30000000000000004,0.1,0.4,0.2,0.1,0.1,true,true,0.5,0.0036,0.3333333333333333,0.16666666666666666
-396693721,random_rep,2.0,180.0,8.0,0.4,0.1,0.4,0.2,0.05,0.1,true,true,0.5,0.0093,0.43010752688172044,0.3225806451612903
-94649059,random_rep,2.0,180.0,8.0,0.4,0.1,0.4,0.2,0.1,0.0,true,true,0.5,0.0126,0.4444444444444444,0.20634920634920634
1151102893,random_rep,2.0,180.0,8.0,0.4,0.1,0.4,0.2,0.1,0.05,true,true,0.5,0.0036,0.4444444444444444,0.3333333333333333
1830842395,random_rep,2.0,180.0,8.0,0.4,0.1,0.4,0.2,0.1,0.1,true,true,0.5,0.0,0.0,0.0
-22154703,random_rep,2.0,180.0,8.0,0.4,0.1,0.5,0.2,0.0,0.0,true,true,0.5,0.0064,0.46875,0.078125
-463264414,random_rep,2.0,180.0,8.0,0.4,0.1,0.5,0.2,0.0,0.1,true,true,0.5,0.1284,0.3901869158878505,0.3364485981308411
1881590206,random_rep,2.0,180.0,8.0,0.4,0.1,0.5,0.2,0.05,0.0,true,true,0.5,0.0,0.0,0.0
2103483803,random_rep,2.0,180.0,8.0,0.4,0.1,0.5,0.2,0.05,0.05,true,true,0.5,0.0155,0.432258064516129,0.16774193548387098
-1850675913,random_rep,2.0,180.0,8.0,0.4,0.1,0.5,0.2,0.05,0.1,true,true,0.5,0.0152,0.5460526315789473,0.27631578947368424
-389999428,polygon_gem10_rep,2.0,180.0,8.0,0.1,0.1,0.5,0.2,0.1,0.1,true,true,0.5,0.0019,1.0,0.0
1768611546,polygon_gem10_rep,2.0,180.0,8.0,0.2,0.1,0.1,0.2,0.0,0.0,true,true,0.5,0.1267,0.6929755327545383,0.2675611681136543
-2062847461,polygon_gem10_rep,2.0,180.0,8.0,0.2,0.1,0.1,0.2,0.0,0.05,true,true,0.5,0.0,0.0,0.0
-1080621703,polygon_gem10_rep,2.0,180.0,8.0,0.2,0.1,0.1,0.2,0.0,0.1,true,true,0.5,0.0059,0.1694915254237288,0.0
1672520870,polygon_gem10_rep,2.0,180.0,8.0,0.2,0.1,0.1,0.2,0.05,0.0,true,true,0.5,0.1223,0.6655764513491415,0.3327882256745707
-9086196,polygon_gem10_rep,2.0,180.0,8.0,0.2,0.1,0.1,0.2,0.05,0.05,true,true,0.5,0.0449,0.6926503340757239,0.0556792873051225
-148474138,polygon_gem10_rep,2.0,180.0,8.0,0.2,0.1,0.1,0.2,0.05,0.1,true,true,0.5,0.0098,0.21428571428571427,0.01020408163265306
-2018244707,polygon_gem10_rep,2.0,180.0,8.0,0.2,0.1,0.1,0.2,0.1,0.0,true,true,0.5,0.0012,0.8333333333333334,0.16666666666666666
-657008227,polygon_gem10_rep,2.0,180.0,8.0,0.2,0.1,0.1,0.2,0.1,0.1,true,true,0.5,0.0,0.0,0.0
-931517106,polygon_gem10_rep,2.0,180.0,8.0,0.2,0.1,0.2,0.2,0.0,0.0,true,true,0.5,0.0317,0.7791798107255521,0.22082018927444794
-2123305600,polygon_gem10_rep,2.0,180.0,8.0,0.2,0.1,0.2,0.2,0.0,0.05,true,true,0.5,0.011,1.0,0.0
1568834790,polygon_gem10_rep,2.0,180.0,8.0,0.2,0.1,0.2,0.2,0.0,0.1,true,true,0.5,0.0,0.0,0.0
-2135063654,polygon_gem10_rep,2.0,180.0,8.0,0.2,0.1,0.2,0.2,0.05,0.1,true,true,0.5,0.0,0.0,0.0
-1905479808,polygon_gem10_rep,2.0,180.0,8.0,0.2,0.1,0.2,0.2,0.1,0.0,true,true,0.5,4.0E-4,0.0,1.0
